,0,1,2,3,4
381,0.0,250,-41,-49,-49
382,0.0,250,-39,-49,-47
383,0.0,250,-39,-49,-47
384,0.0,250,-39,-49,-49
385,0.0,250,-39,-49,-49
386,0.0,250,-41,-49,-49
387,0.0,250,-41,-51,-49
388,0.0,250,-39,-53,-51
389,0.0,250,-37,-53,-49
390,0.0,250,-39,-51,-47
391,0.0,250,-37,-51,-47
392,0.0,250,-39,-51,-47
393,0.0,250,-37,-49,-49
394,0.0,250,-39,-51,-49
395,0.0,250,-39,-53,-49
396,0.0,250,-39,-53,-49
397,0.0,250,-39,-53,-47
398,0.0,250,-41,-53,-47
399,0.0,250,-39,-51,-47
400,200.5,625,-57,-41,-39
401,200.5,625,-55,-41,-39
402,200.5,625,-53,-41,-35
403,200.5,625,-57,-41,-39
404,200.5,625,-53,-41,-37
405,200.5,625,-55,-41,-37
406,200.5,625,-55,-43,-39
407,200.5,625,-55,-41,-37
408,200.5,625,-55,-41,-37
409,200.5,625,-55,-41,-37
410,200.5,625,-55,-41,-37
411,200.5,625,-55,-41,-37
412,200.5,625,-53,-41,-39
413,200.5,625,-55,-43,-39
414,200.5,625,-57,-41,-39
415,200.5,625,-55,-43,-39
416,200.5,625,-55,-45,-39
417,200.5,625,-57,-43,-39
418,200.5,625,-57,-43,-39
419,200.5,625,-57,-43,-39
420,200.5,625,-55,-43,-39
421,200.5,625,-55,-43,-37
422,200.5,625,-59,-41,-37
423,200.5,625,-57,-41,-39
424,200.5,625,-59,-43,-39
425,200.5,625,-37,-41,-37
426,200.5,625,-51,-43,-39
427,200.5,625,-55,-37,-39
428,200.5,625,-57,-39,-37
429,200.5,625,-55,-43,-39
430,200.5,625,-53,-43,-39
431,200.5,625,-55,-43,-39
432,200.5,625,-55,-43,-39
433,200.5,625,-39,-41,-39
434,200.5,625,-55,-45,-39
435,200.5,625,-59,-43,-39
436,200.5,625,-61,-45,-39
437,200.5,625,-61,-43,-39
438,200.5,625,-59,-43,-39
439,200.5,625,-59,-45,-37
440,200.5,625,-55,-45,-39
441,200.5,625,-55,-45,-37
442,200.5,625,-57,-43,-39
443,200.5,625,-57,-43,-39
444,200.5,625,-55,-43,-39
445,200.5,625,-55,-43,-37
446,200.5,625,-57,-41,-39
447,200.5,625,-61,-41,-37
448,200.5,625,-59,-43,-37
449,200.5,625,-61,-41,-37
450,200.5,625,-59,-43,-37
451,200.5,625,-59,-43,-39
452,200.5,625,-59,-43,-39
453,200.5,625,-61,-43,-39
454,200.5,625,-61,-45,-39
455,200.5,625,-59,-43,-39
456,200.5,625,-61,-43,-39
457,200.5,625,-61,-45,-39
458,200.5,625,-61,-45,-41
459,200.5,625,-55,-43,-39
460,200.5,625,-59,-45,-39
461,200.5,625,-59,-45,-39
462,200.5,625,-53,-41,-39
463,200.5,625,-61,-41,-37
464,200.5,625,-59,-35,-37
465,200.5,625,-59,-41,-39
466,200.5,625,-61,-43,-39
467,200.5,625,-57,-41,-37
468,200.5,625,-57,-43,-39
469,200.5,625,-57,-43,-37
470,200.5,625,-57,-43,-39
471,200.5,625,-55,-43,-37
472,200.5,625,-55,-43,-39
473,200.5,625,-55,-43,-39
474,200.5,625,-59,-45,-39
475,200.5,625,-57,-43,-37
476,200.5,625,-59,-45,-37
477,200.5,625,-57,-43,-37
478,200.5,625,-57,-43,-37
479,200.5,625,-61,-45,-37
480,200.5,625,-61,-43,-39
481,200.5,625,-59,-43,-39
482,200.5,625,-59,-43,-39
483,200.5,625,-59,-43,-37
484,200.5,625,-59,-43,-37
485,200.5,625,-53,-41,-39
486,200.5,625,-59,-43,-39
487,200.5,625,-57,-43,-39
488,200.5,625,-57,-45,-39
489,200.5,625,-61,-41,-39
490,200.5,625,-61,-41,-39
491,200.5,625,-61,-41,-39
492,200.5,625,-63,-41,-39
493,200.5,625,-59,-41,-41
494,200.5,625,-61,-43,-39
495,200.5,625,-63,-43,-39
496,200.5,625,-61,-45,-39
497,200.5,625,-61,-43,-39
498,200.5,625,-63,-43,-39
499,200.5,625,-63,-45,-39
500,187.1,125,-39,-45,-45
501,187.1,125,-41,-45,-45
502,187.1,125,-41,-45,-45
503,187.1,125,-41,-45,-45
504,187.1,125,-39,-45,-45
505,187.1,125,-37,-47,-45
506,187.1,125,-39,-47,-45
507,187.1,125,-41,-47,-43
508,187.1,125,-41,-45,-45
509,187.1,125,-39,-47,-43
510,187.1,125,-43,-47,-43
511,187.1,125,-43,-45,-45
512,187.1,125,-41,-45,-43
513,187.1,125,-41,-45,-47
514,187.1,125,-43,-47,-45
515,187.1,125,-43,-47,-45
516,187.1,125,-39,-49,-45
517,187.1,125,-39,-47,-47
518,187.1,125,-39,-47,-47
519,187.1,125,-39,-47,-49
520,187.1,125,-31,-49,-47
521,187.1,125,-41,-49,-47
522,187.1,125,-39,-47,-49
523,187.1,125,-41,-47,-49
524,187.1,125,-29,-43,-45
525,187.1,125,-39,-45,-47
526,187.1,125,-43,-47,-45
527,187.1,125,-41,-45,-45
528,187.1,125,-39,-45,-45
529,187.1,125,-37,-45,-47
530,187.1,125,-41,-45,-47
531,187.1,125,-39,-43,-45
532,187.1,125,-37,-45,-45
533,187.1,125,-37,-45,-45
534,187.1,125,-39,-45,-45
535,187.1,125,-39,-45,-43
536,187.1,125,-39,-45,-45
537,187.1,125,-39,-47,-45
538,187.1,125,-39,-47,-43
539,187.1,125,-37,-47,-43
540,187.1,125,-39,-47,-43
541,187.1,125,-35,-47,-43
542,187.1,125,-39,-47,-45
543,187.1,125,-37,-47,-43
544,187.1,125,-37,-47,-43
545,187.1,125,-37,-47,-43
546,187.1,125,-37,-49,-43
547,187.1,125,-39,-51,-47
548,187.1,125,-37,-49,-45
549,187.1,125,-39,-47,-45
550,187.1,125,-41,-47,-45
551,187.1,125,-39,-47,-45
552,187.1,125,-39,-47,-45
553,187.1,125,-37,-47,-45
554,187.1,125,-37,-47,-47
555,187.1,125,-37,-49,-47
556,187.1,125,-37,-47,-47
557,187.1,125,-37,-47,-45
558,187.1,125,-37,-47,-45
559,187.1,125,-39,-47,-45
560,187.1,125,-39,-47,-45
561,187.1,125,-37,-47,-45
562,187.1,125,-39,-45,-43
563,187.1,125,-39,-47,-43
564,187.1,125,-39,-47,-43
565,187.1,125,-41,-47,-45
566,187.1,125,-39,-49,-43
567,187.1,125,-39,-47,-43
568,187.1,125,-37,-47,-43
569,187.1,125,-39,-47,-45
570,187.1,125,-41,-47,-43
571,187.1,125,-39,-45,-45
572,187.1,125,-41,-45,-45
573,187.1,125,-41,-45,-43
574,187.1,125,-41,-45,-45
575,187.1,125,-41,-47,-45
576,187.1,125,-41,-47,-45
577,187.1,125,-41,-45,-45
578,187.1,125,-39,-47,-47
579,187.1,125,-41,-45,-47
580,187.1,125,-41,-45,-45
581,187.1,125,-39,-45,-45
582,187.1,125,-41,-41,-45
583,187.1,125,-31,-45,-43
584,187.1,125,-39,-45,-45
585,187.1,125,-41,-47,-45
586,187.1,125,-39,-45,-45
587,187.1,125,-39,-47,-43
588,187.1,125,-39,-45,-43
589,187.1,125,-41,-45,-43
590,187.1,125,-39,-45,-45
591,187.1,125,-41,-45,-45
592,187.1,125,-39,-45,-47
593,187.1,125,-41,-45,-47
594,187.1,125,-41,-45,-47
595,187.1,125,-39,-45,-47
596,187.1,125,-41,-45,-47
597,187.1,125,-39,-43,-49
598,187.1,125,-41,-47,-49
599,187.1,125,-39,-47,-49
600,90.0,731,-51,-47,-15
601,90.0,731,-51,-45,-15
602,90.0,731,-49,-47,-15
603,90.0,731,-49,-45,-17
604,90.0,731,-49,-47,-17
605,90.0,731,-49,-45,-17
606,90.0,731,-51,-47,-15
607,90.0,731,-49,-47,-15
608,90.0,731,-49,-47,-15
609,90.0,731,-51,-47,-15
610,90.0,731,-51,-47,-15
611,90.0,731,-53,-45,-15
612,90.0,731,-51,-47,-15
613,90.0,731,-51,-45,-15
614,90.0,731,-51,-47,-15
615,90.0,731,-49,-47,-15
616,90.0,731,-51,-47,-15
617,90.0,731,-51,-45,-15
618,90.0,731,-49,-47,-17
619,90.0,731,-49,-45,-15
620,90.0,731,-49,-45,-15
621,90.0,731,-51,-47,-15
622,90.0,731,-49,-45,-15
623,90.0,731,-49,-47,-15
624,90.0,731,-51,-47,-17
625,90.0,731,-51,-45,-17
626,90.0,731,-51,-47,-15
627,90.0,731,-51,-47,-15
628,90.0,731,-51,-47,-15
629,90.0,731,-49,-49,-17
630,90.0,731,-51,-47,-17
631,90.0,731,-51,-47,-15
632,90.0,731,-51,-47,-15
633,90.0,731,-51,-47,-17
634,90.0,731,-51,-47,-17
635,90.0,731,-51,-47,-17
636,90.0,731,-51,-41,-17
637,90.0,731,-53,-47,-17
638,90.0,731,-53,-45,-17
639,90.0,731,-53,-47,-17
640,90.0,731,-51,-47,-17
641,90.0,731,-39,-41,-5
642,90.0,731,-51,-45,-17
643,90.0,731,-51,-47,-17
644,90.0,731,-51,-47,-17
645,90.0,731,-51,-45,-17
646,90.0,731,-53,-47,-17
647,90.0,731,-53,-47,-19
648,90.0,731,-51,-49,-17
649,90.0,731,-51,-47,-17
650,90.0,731,-51,-47,-17
651,90.0,731,-53,-47,-17
652,90.0,731,-53,-47,-17
653,90.0,731,-51,-47,-17
654,90.0,731,-51,-47,-17
655,90.0,731,-51,-47,-17
656,90.0,731,-51,-47,-17
657,90.0,731,-51,-45,-17
658,90.0,731,-49,-45,-17
659,90.0,731,-51,-47,-17
660,90.0,731,-51,-47,-17
661,90.0,731,-51,-49,-17
662,90.0,731,-51,-47,-17
663,90.0,731,-51,-47,-17
664,90.0,731,-51,-47,-17
665,90.0,731,-51,-47,-17
666,90.0,731,-51,-45,-17
667,90.0,731,-51,-47,-17
668,90.0,731,-51,-47,-17
669,90.0,731,-51,-47,-17
670,90.0,731,-53,-47,-17
671,90.0,731,-51,-47,-17
672,90.0,731,-37,-49,-5
673,90.0,731,-53,-49,-5
